mun_mic_mes,Municipio_ID
"BannachSão Félix do XinguSudeste Paraense",168
"BarcarenaBelémMetropolitana de Belém",169
"BelémBelémMetropolitana de Belém",170
"BelterraSantarémBaixo Amazonas",171
"BenevidesBelémMetropolitana de Belém",172
"Bom Jesus do TocantinsParagominasSudeste Paraense",173
"BonitoBragantinaNordeste Paraense",174
"BragançaBragantinaNordeste Paraense",175
"Brasil NovoAltamiraSudoeste Paraense",176
"Brejo Grande do AraguaiaMarabáSudeste Paraense",177
"Breu BrancoTucuruíSudeste Paraense",178
"BrevesFuros de BrevesMarajó",179
"BujaruCastanhalMetropolitana de Belém",180
"Cachoeira do ArariArariMarajó",181
"Cachoeira do PiriáGuamáNordeste Paraense",182
"CametáCametáNordeste Paraense",183
"Canaã dos CarajásParauapebasSudeste Paraense",184
"CapanemaBragantinaNordeste Paraense",185
"Capitão PoçoGuamáNordeste Paraense",186
"CastanhalCastanhalMetropolitana de Belém",187
ChavesArariMarajó,188
"ColaresSalgadoNordeste Paraense",189
"Conceição do AraguaiaConceição do AraguaiaSudeste Paraense",190
"Concórdia do ParáTomé-AçuNordeste Paraense",191
"Cumaru do NorteSão Félix do XinguSudeste Paraense",192
"CurionópolisParauapebasSudeste Paraense",193
"CurralinhoFuros de BrevesMarajó",194
"CuruáSantarémBaixo Amazonas",195
"CuruçáSalgadoNordeste Paraense",196
"Dom EliseuParagominasSudeste Paraense",197
"Eldorado do CarajásParauapebasSudeste Paraense",198
"FaroÓbidosBaixo Amazonas",199
"Floresta do AraguaiaConceição do AraguaiaSudeste Paraense",200
"Garrafão do NorteGuamáNordeste Paraense",201
"Goianésia do ParáParagominasSudeste Paraense",202
GurupáPortelMarajó,203
"Igarapé-AçuBragantinaNordeste Paraense",204
"Igarapé-MiriCametáNordeste Paraense",205
"InhangapiCastanhalMetropolitana de Belém",206
"Ipixuna do ParáGuamáNordeste Paraense",207
"IrituiaGuamáNordeste Paraense",208
"ItaitubaItaitubaSudoeste Paraense",209
"ItupirangaTucuruíSudeste Paraense",210
"JacareacangaItaitubaSudoeste Paraense",211
"JacundáTucuruíSudeste Paraense",212
"JurutiÓbidosBaixo Amazonas",213
"Limoeiro do AjuruCametáNordeste Paraense",214
"Mãe do RioGuamáNordeste Paraense",215
"Magalhães BarataSalgadoNordeste Paraense",216
"MarabáMarabáSudeste Paraense",217
"MaracanãSalgadoNordeste Paraense",218
"MarapanimSalgadoNordeste Paraense",219
"MaritubaBelémMetropolitana de Belém",220
"MedicilândiaAltamiraSudoeste Paraense",221
MelgaçoPortelMarajó,222
"MocajubaCametáNordeste Paraense",223
"MojuTomé-AçuNordeste Paraense",224
"Mojuí dos CamposSantarémBaixo Amazonas",225
"Monte AlegreSantarémBaixo Amazonas",226
MuanáArariMarajó,227
"Nova Esperança do PiriáGuamáNordeste Paraense",228
"Nova IpixunaTucuruíSudeste Paraense",229
"Nova TimboteuaBragantinaNordeste Paraense",230
"Novo ProgressoItaitubaSudoeste Paraense",231
"Novo RepartimentoTucuruíSudeste Paraense",232
"ÓbidosÓbidosBaixo Amazonas",233
"Oeiras do ParáCametáNordeste Paraense",234
"OriximináÓbidosBaixo Amazonas",235
"OurémGuamáNordeste Paraense",236
"Ourilândia do NorteSão Félix do XinguSudeste Paraense",237
"PacajáAltamiraSudoeste Paraense",238
"Palestina do ParáMarabáSudeste Paraense",239
"ParagominasParagominasSudeste Paraense",240
"ParauapebasParauapebasSudeste Paraense",241
"Pau D'ArcoRedençãoSudeste Paraense",242
"Peixe-BoiBragantinaNordeste Paraense",243
"PiçarraRedençãoSudeste Paraense",244
"PlacasSantarémBaixo Amazonas",245
"Ponta de PedrasArariMarajó",246
PortelPortelMarajó,247
"Porto de MozAlmeirimBaixo Amazonas",248
"PrainhaSantarémBaixo Amazonas",249
"PrimaveraBragantinaNordeste Paraense",250
"QuatipuruBragantinaNordeste Paraense",251
"RedençãoRedençãoSudeste Paraense",252
"Rio MariaRedençãoSudeste Paraense",253
"Rondon do ParáParagominasSudeste Paraense",254
