Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
2769,Nova Serrana (MG),Nova Serrana,310,Divinópolis,Oeste de Minas,MG,Nova SerranaDivinópolisOeste de Minas
2770,Nova União (MG),Nova União,274,Itabira,Metropolitana de Belo Horizonte,MG,Nova UniãoItabiraMetropolitana de Belo Horizonte
2771,Novo Cruzeiro (MG),Novo Cruzeiro,280,Araçuaí,Jequitinhonha,MG,Novo CruzeiroAraçuaíJequitinhonha
2772,Novo Oriente de Minas (MG),Novo Oriente de Minas,289,Teófilo Otoni,Vale do Mucuri,MG,Novo Oriente de MinasTeófilo OtoniVale do Mucuri
2773,Novorizonte (MG),Novorizonte,262,Salinas,Norte de Minas,MG,NovorizonteSalinasNorte de Minas
2774,Olaria (MG),Olaria,279,Juiz de Fora,Zona da Mata,MG,OlariaJuiz de ForaZona da Mata
2775,Olhos-d'Água (MG),Olhos-d'Água,295,Bocaiúva,Norte de Minas,MG,Olhos-d'ÁguaBocaiúvaNorte de Minas
2776,Olímpio Noronha (MG),Olímpio Noronha,265,São Lourenço,Sul/Sudoeste de Minas,MG,Olímpio NoronhaSão LourençoSul/Sudoeste de Minas
2777,Oliveira (MG),Oliveira,298,Oliveira,Oeste de Minas,MG,OliveiraOliveiraOeste de Minas
2778,Oliveira Fortes (MG),Oliveira Fortes,279,Juiz de Fora,Zona da Mata,MG,Oliveira FortesJuiz de ForaZona da Mata
2779,Onça de Pitangui (MG),Onça de Pitangui,318,Pará de Minas,Metropolitana de Belo Horizonte,MG,Onça de PitanguiPará de MinasMetropolitana de Belo Horizonte
2780,Oratórios (MG),Oratórios,256,Ponte Nova,Zona da Mata,MG,OratóriosPonte NovaZona da Mata
2781,Orizânia (MG),Orizânia,277,Muriaé,Zona da Mata,MG,OrizâniaMuriaéZona da Mata
2782,Ouro Branco (MG),Ouro Branco,312,Conselheiro Lafaiete,Metropolitana de Belo Horizonte,MG,Ouro BrancoConselheiro LafaieteMetropolitana de Belo Horizonte
2783,Ouro Fino (MG),Ouro Fino,266,Poços de Caldas,Sul/Sudoeste de Minas,MG,Ouro FinoPoços de CaldasSul/Sudoeste de Minas
2784,Ouro Preto (MG),Ouro Preto,317,Ouro Preto,Metropolitana de Belo Horizonte,MG,Ouro PretoOuro PretoMetropolitana de Belo Horizonte
2785,Ouro Verde de Minas (MG),Ouro Verde de Minas,289,Teófilo Otoni,Vale do Mucuri,MG,Ouro Verde de MinasTeófilo OtoniVale do Mucuri
2786,Padre Carvalho (MG),Padre Carvalho,300,Grão Mogol,Norte de Minas,MG,Padre CarvalhoGrão MogolNorte de Minas
2787,Padre Paraíso (MG),Padre Paraíso,280,Araçuaí,Jequitinhonha,MG,Padre ParaísoAraçuaíJequitinhonha
2788,Pai Pedro (MG),Pai Pedro,313,Janaúba,Norte de Minas,MG,Pai PedroJanaúbaNorte de Minas
2789,Paineiras (MG),Paineiras,254,Três Marias,Central Mineira,MG,PaineirasTrês MariasCentral Mineira
2790,Pains (MG),Pains,286,Formiga,Oeste de Minas,MG,PainsFormigaOeste de Minas
2791,Paiva (MG),Paiva,279,Juiz de Fora,Zona da Mata,MG,PaivaJuiz de ForaZona da Mata
2792,Palma (MG),Palma,267,Cataguases,Zona da Mata,MG,PalmaCataguasesZona da Mata
2793,Palmópolis (MG),Palmópolis,270,Almenara,Jequitinhonha,MG,PalmópolisAlmenaraJequitinhonha
2794,Papagaios (MG),Papagaios,278,Sete Lagoas,Metropolitana de Belo Horizonte,MG,PapagaiosSete LagoasMetropolitana de Belo Horizonte
2795,Pará de Minas (MG),Pará de Minas,318,Pará de Minas,Metropolitana de Belo Horizonte,MG,Pará de MinasPará de MinasMetropolitana de Belo Horizonte
2796,Paracatu (MG),Paracatu,301,Paracatu,Noroeste de Minas,MG,ParacatuParacatuNoroeste de Minas
2797,Paraguaçu (MG),Paraguaçu,268,Alfenas,Sul/Sudoeste de Minas,MG,ParaguaçuAlfenasSul/Sudoeste de Minas
2798,Paraisópolis (MG),Paraisópolis,304,Itajubá,Sul/Sudoeste de Minas,MG,ParaisópolisItajubáSul/Sudoeste de Minas
2799,Paraopeba (MG),Paraopeba,278,Sete Lagoas,Metropolitana de Belo Horizonte,MG,ParaopebaSete LagoasMetropolitana de Belo Horizonte
2800,Passa Quatro (MG),Passa Quatro,265,São Lourenço,Sul/Sudoeste de Minas,MG,Passa QuatroSão LourençoSul/Sudoeste de Minas
2801,Passa Tempo (MG),Passa Tempo,298,Oliveira,Oeste de Minas,MG,Passa TempoOliveiraOeste de Minas
2802,Passa Vinte (MG),Passa Vinte,264,Andrelândia,Sul/Sudoeste de Minas,MG,Passa VinteAndrelândiaSul/Sudoeste de Minas
