Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
532,Governador Nunes Freire (MA),Governador Nunes Freire,72,Gurupi,Oeste Maranhense,MA,Governador Nunes FreireGurupiOeste Maranhense
533,Graça Aranha (MA),Graça Aranha,84,Presidente Dutra,Centro Maranhense,MA,Graça AranhaPresidente DutraCentro Maranhense
534,Grajaú (MA),Grajaú,75,Alto Mearim e Grajaú,Centro Maranhense,MA,GrajaúAlto Mearim e GrajaúCentro Maranhense
535,Guimarães (MA),Guimarães,68,Litoral Ocidental Maranhense,Norte Maranhense,MA,GuimarãesLitoral Ocidental MaranhenseNorte Maranhense
536,Humberto de Campos (MA),Humberto de Campos,79,Lençóis Maranhenses,Norte Maranhense,MA,Humberto de CamposLençóis MaranhensesNorte Maranhense
537,Icatu (MA),Icatu,76,Rosário,Norte Maranhense,MA,IcatuRosárioNorte Maranhense
538,Igarapé do Meio (MA),Igarapé do Meio,73,Baixada Maranhense,Norte Maranhense,MA,Igarapé do MeioBaixada MaranhenseNorte Maranhense
539,Igarapé Grande (MA),Igarapé Grande,77,Médio Mearim,Centro Maranhense,MA,Igarapé GrandeMédio MearimCentro Maranhense
540,Imperatriz (MA),Imperatriz,65,Imperatriz,Oeste Maranhense,MA,ImperatrizImperatrizOeste Maranhense
541,Itaipava do Grajaú (MA),Itaipava do Grajaú,75,Alto Mearim e Grajaú,Centro Maranhense,MA,Itaipava do GrajaúAlto Mearim e GrajaúCentro Maranhense
542,Itapecuru Mirim (MA),Itapecuru Mirim,83,Itapecuru Mirim,Norte Maranhense,MA,Itapecuru MirimItapecuru MirimNorte Maranhense
543,Itinga do Maranhão (MA),Itinga do Maranhão,65,Imperatriz,Oeste Maranhense,MA,Itinga do MaranhãoImperatrizOeste Maranhense
544,Jatobá (MA),Jatobá,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,JatobáChapadas do Alto ItapecuruLeste Maranhense
545,Jenipapo dos Vieiras (MA),Jenipapo dos Vieiras,75,Alto Mearim e Grajaú,Centro Maranhense,MA,Jenipapo dos VieirasAlto Mearim e GrajaúCentro Maranhense
546,João Lisboa (MA),João Lisboa,65,Imperatriz,Oeste Maranhense,MA,João LisboaImperatrizOeste Maranhense
547,Joselândia (MA),Joselândia,75,Alto Mearim e Grajaú,Centro Maranhense,MA,JoselândiaAlto Mearim e GrajaúCentro Maranhense
548,Junco do Maranhão (MA),Junco do Maranhão,72,Gurupi,Oeste Maranhense,MA,Junco do MaranhãoGurupiOeste Maranhense
549,Lago da Pedra (MA),Lago da Pedra,69,Pindaré,Oeste Maranhense,MA,Lago da PedraPindaréOeste Maranhense
550,Lago do Junco (MA),Lago do Junco,77,Médio Mearim,Centro Maranhense,MA,Lago do JuncoMédio MearimCentro Maranhense
551,Lago dos Rodrigues (MA),Lago dos Rodrigues,77,Médio Mearim,Centro Maranhense,MA,Lago dos RodriguesMédio MearimCentro Maranhense
552,Lago Verde (MA),Lago Verde,77,Médio Mearim,Centro Maranhense,MA,Lago VerdeMédio MearimCentro Maranhense
553,Lagoa do Mato (MA),Lagoa do Mato,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Lagoa do MatoChapadas do Alto ItapecuruLeste Maranhense
554,Lagoa Grande do Maranhão (MA),Lagoa Grande do Maranhão,69,Pindaré,Oeste Maranhense,MA,Lagoa Grande do MaranhãoPindaréOeste Maranhense
555,Lajeado Novo (MA),Lajeado Novo,65,Imperatriz,Oeste Maranhense,MA,Lajeado NovoImperatrizOeste Maranhense
556,Lima Campos (MA),Lima Campos,77,Médio Mearim,Centro Maranhense,MA,Lima CamposMédio MearimCentro Maranhense
557,Loreto (MA),Loreto,80,Chapadas das Mangabeiras,Sul Maranhense,MA,LoretoChapadas das MangabeirasSul Maranhense
558,Luís Domingues (MA),Luís Domingues,72,Gurupi,Oeste Maranhense,MA,Luís DominguesGurupiOeste Maranhense
559,Magalhães de Almeida (MA),Magalhães de Almeida,67,Baixo Parnaíba Maranhense,Leste Maranhense,MA,Magalhães de AlmeidaBaixo Parnaíba MaranhenseLeste Maranhense
560,Maracaçumé (MA),Maracaçumé,72,Gurupi,Oeste Maranhense,MA,MaracaçuméGurupiOeste Maranhense
561,Marajá do Sena (MA),Marajá do Sena,69,Pindaré,Oeste Maranhense,MA,Marajá do SenaPindaréOeste Maranhense
562,Maranhãozinho (MA),Maranhãozinho,72,Gurupi,Oeste Maranhense,MA,MaranhãozinhoGurupiOeste Maranhense
563,Mata Roma (MA),Mata Roma,74,Chapadinha,Leste Maranhense,MA,Mata RomaChapadinhaLeste Maranhense
564,Matinha (MA),Matinha,73,Baixada Maranhense,Norte Maranhense,MA,MatinhaBaixada MaranhenseNorte Maranhense
565,Matões (MA),Matões,81,Caxias,Leste Maranhense,MA,MatõesCaxiasLeste Maranhense
566,Matões do Norte (MA),Matões do Norte,83,Itapecuru Mirim,Norte Maranhense,MA,Matões do NorteItapecuru MirimNorte Maranhense
567,Milagres do Maranhão (MA),Milagres do Maranhão,74,Chapadinha,Leste Maranhense,MA,Milagres do MaranhãoChapadinhaLeste Maranhense
568,Mirador (MA),Mirador,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,MiradorChapadas do Alto ItapecuruLeste Maranhense
569,Miranda do Norte (MA),Miranda do Norte,83,Itapecuru Mirim,Norte Maranhense,MA,Miranda do NorteItapecuru MirimNorte Maranhense
570,Mirinzal (MA),Mirinzal,68,Litoral Ocidental Maranhense,Norte Maranhense,MA,MirinzalLitoral Ocidental MaranhenseNorte Maranhense
571,Monção (MA),Monção,73,Baixada Maranhense,Norte Maranhense,MA,MonçãoBaixada MaranhenseNorte Maranhense
572,Montes Altos (MA),Montes Altos,65,Imperatriz,Oeste Maranhense,MA,Montes AltosImperatrizOeste Maranhense
573,Morros (MA),Morros,76,Rosário,Norte Maranhense,MA,MorrosRosárioNorte Maranhense
574,Nina Rodrigues (MA),Nina Rodrigues,83,Itapecuru Mirim,Norte Maranhense,MA,Nina RodriguesItapecuru MirimNorte Maranhense
575,Nova Colinas (MA),Nova Colinas,80,Chapadas das Mangabeiras,Sul Maranhense,MA,Nova ColinasChapadas das MangabeirasSul Maranhense
576,Nova Iorque (MA),Nova Iorque,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Nova IorqueChapadas do Alto ItapecuruLeste Maranhense
577,Nova Olinda do Maranhão (MA),Nova Olinda do Maranhão,69,Pindaré,Oeste Maranhense,MA,Nova Olinda do MaranhãoPindaréOeste Maranhense
578,Olho d'Água das Cunhãs (MA),Olho d'Água das Cunhãs,77,Médio Mearim,Centro Maranhense,MA,Olho d'Água das CunhãsMédio MearimCentro Maranhense
579,Olinda Nova do Maranhão (MA),Olinda Nova do Maranhão,73,Baixada Maranhense,Norte Maranhense,MA,Olinda Nova do MaranhãoBaixada MaranhenseNorte Maranhense
580,Paço do Lumiar (MA),Paço do Lumiar,85,Aglomeração Urbana de São Luís,Norte Maranhense,MA,Paço do LumiarAglomeração Urbana de São LuísNorte Maranhense
581,Palmeirândia (MA),Palmeirândia,73,Baixada Maranhense,Norte Maranhense,MA,PalmeirândiaBaixada MaranhenseNorte Maranhense
582,Paraibano (MA),Paraibano,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,ParaibanoChapadas do Alto ItapecuruLeste Maranhense
583,Parnarama (MA),Parnarama,81,Caxias,Leste Maranhense,MA,ParnaramaCaxiasLeste Maranhense
584,Passagem Franca (MA),Passagem Franca,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Passagem FrancaChapadas do Alto ItapecuruLeste Maranhense
585,Pastos Bons (MA),Pastos Bons,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Pastos BonsChapadas do Alto ItapecuruLeste Maranhense
586,Paulino Neves (MA),Paulino Neves,79,Lençóis Maranhenses,Norte Maranhense,MA,Paulino NevesLençóis MaranhensesNorte Maranhense
587,Paulo Ramos (MA),Paulo Ramos,69,Pindaré,Oeste Maranhense,MA,Paulo RamosPindaréOeste Maranhense
588,Pedreiras (MA),Pedreiras,77,Médio Mearim,Centro Maranhense,MA,PedreirasMédio MearimCentro Maranhense
589,Pedro do Rosário (MA),Pedro do Rosário,73,Baixada Maranhense,Norte Maranhense,MA,Pedro do RosárioBaixada MaranhenseNorte Maranhense
590,Penalva (MA),Penalva,73,Baixada Maranhense,Norte Maranhense,MA,PenalvaBaixada MaranhenseNorte Maranhense
591,Peri Mirim (MA),Peri Mirim,73,Baixada Maranhense,Norte Maranhense,MA,Peri MirimBaixada MaranhenseNorte Maranhense
592,Peritoró (MA),Peritoró,70,Codó,Leste Maranhense,MA,PeritoróCodóLeste Maranhense
593,Pindaré-Mirim (MA),Pindaré-Mirim,69,Pindaré,Oeste Maranhense,MA,Pindaré-MirimPindaréOeste Maranhense
594,Pinheiro (MA),Pinheiro,73,Baixada Maranhense,Norte Maranhense,MA,PinheiroBaixada MaranhenseNorte Maranhense
595,Pio XII (MA),Pio XII,77,Médio Mearim,Centro Maranhense,MA,Pio XIIMédio MearimCentro Maranhense
596,Pirapemas (MA),Pirapemas,83,Itapecuru Mirim,Norte Maranhense,MA,PirapemasItapecuru MirimNorte Maranhense
597,Poção de Pedras (MA),Poção de Pedras,77,Médio Mearim,Centro Maranhense,MA,Poção de PedrasMédio MearimCentro Maranhense
598,Porto Franco (MA),Porto Franco,82,Porto Franco,Sul Maranhense,MA,Porto FrancoPorto FrancoSul Maranhense
599,Porto Rico do Maranhão (MA),Porto Rico do Maranhão,68,Litoral Ocidental Maranhense,Norte Maranhense,MA,Porto Rico do MaranhãoLitoral Ocidental MaranhenseNorte Maranhense
600,Presidente Dutra (MA),Presidente Dutra,84,Presidente Dutra,Centro Maranhense,MA,Presidente DutraPresidente DutraCentro Maranhense
601,Presidente Juscelino (MA),Presidente Juscelino,76,Rosário,Norte Maranhense,MA,Presidente JuscelinoRosárioNorte Maranhense
602,Presidente Médici (MA),Presidente Médici,69,Pindaré,Oeste Maranhense,MA,Presidente MédiciPindaréOeste Maranhense
603,Presidente Sarney (MA),Presidente Sarney,73,Baixada Maranhense,Norte Maranhense,MA,Presidente SarneyBaixada MaranhenseNorte Maranhense
604,Presidente Vargas (MA),Presidente Vargas,83,Itapecuru Mirim,Norte Maranhense,MA,Presidente VargasItapecuru MirimNorte Maranhense
605,Primeira Cruz (MA),Primeira Cruz,79,Lençóis Maranhenses,Norte Maranhense,MA,Primeira CruzLençóis MaranhensesNorte Maranhense
606,Raposa (MA),Raposa,85,Aglomeração Urbana de São Luís,Norte Maranhense,MA,RaposaAglomeração Urbana de São LuísNorte Maranhense
607,Riachão (MA),Riachão,71,Gerais de Balsas,Sul Maranhense,MA,RiachãoGerais de BalsasSul Maranhense
608,Ribamar Fiquene (MA),Ribamar Fiquene,65,Imperatriz,Oeste Maranhense,MA,Ribamar FiqueneImperatrizOeste Maranhense
609,Rosário (MA),Rosário,76,Rosário,Norte Maranhense,MA,RosárioRosárioNorte Maranhense
610,Sambaíba (MA),Sambaíba,80,Chapadas das Mangabeiras,Sul Maranhense,MA,SambaíbaChapadas das MangabeirasSul Maranhense
611,Santa Filomena do Maranhão (MA),Santa Filomena do Maranhão,75,Alto Mearim e Grajaú,Centro Maranhense,MA,Santa Filomena do MaranhãoAlto Mearim e GrajaúCentro Maranhense
612,Santa Helena (MA),Santa Helena,73,Baixada Maranhense,Norte Maranhense,MA,Santa HelenaBaixada MaranhenseNorte Maranhense
613,Santa Inês (MA),Santa Inês,69,Pindaré,Oeste Maranhense,MA,Santa InêsPindaréOeste Maranhense
614,Santa Luzia (MA),Santa Luzia,69,Pindaré,Oeste Maranhense,MA,Santa LuziaPindaréOeste Maranhense
615,Santa Luzia do Paruá (MA),Santa Luzia do Paruá,69,Pindaré,Oeste Maranhense,MA,Santa Luzia do ParuáPindaréOeste Maranhense
616,Santa Quitéria do Maranhão (MA),Santa Quitéria do Maranhão,67,Baixo Parnaíba Maranhense,Leste Maranhense,MA,Santa Quitéria do MaranhãoBaixo Parnaíba MaranhenseLeste Maranhense
617,Santa Rita (MA),Santa Rita,76,Rosário,Norte Maranhense,MA,Santa RitaRosárioNorte Maranhense
618,Santana do Maranhão (MA),Santana do Maranhão,67,Baixo Parnaíba Maranhense,Leste Maranhense,MA,Santana do MaranhãoBaixo Parnaíba MaranhenseLeste Maranhense
619,Santo Amaro do Maranhão (MA),Santo Amaro do Maranhão,79,Lençóis Maranhenses,Norte Maranhense,MA,Santo Amaro do MaranhãoLençóis MaranhensesNorte Maranhense
620,Santo Antônio dos Lopes (MA),Santo Antônio dos Lopes,77,Médio Mearim,Centro Maranhense,MA,Santo Antônio dos LopesMédio MearimCentro Maranhense
621,São Benedito do Rio Preto (MA),São Benedito do Rio Preto,74,Chapadinha,Leste Maranhense,MA,São Benedito do Rio PretoChapadinhaLeste Maranhense
622,São Bento (MA),São Bento,73,Baixada Maranhense,Norte Maranhense,MA,São BentoBaixada MaranhenseNorte Maranhense
623,São Bernardo (MA),São Bernardo,67,Baixo Parnaíba Maranhense,Leste Maranhense,MA,São BernardoBaixo Parnaíba MaranhenseLeste Maranhense
624,São Domingos do Azeitão (MA),São Domingos do Azeitão,80,Chapadas das Mangabeiras,Sul Maranhense,MA,São Domingos do AzeitãoChapadas das MangabeirasSul Maranhense
625,São Domingos do Maranhão (MA),São Domingos do Maranhão,84,Presidente Dutra,Centro Maranhense,MA,São Domingos do MaranhãoPresidente DutraCentro Maranhense
626,São Félix de Balsas (MA),São Félix de Balsas,80,Chapadas das Mangabeiras,Sul Maranhense,MA,São Félix de BalsasChapadas das MangabeirasSul Maranhense
627,São Francisco do Brejão (MA),São Francisco do Brejão,65,Imperatriz,Oeste Maranhense,MA,São Francisco do BrejãoImperatrizOeste Maranhense
628,São Francisco do Maranhão (MA),São Francisco do Maranhão,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,São Francisco do MaranhãoChapadas do Alto ItapecuruLeste Maranhense
629,São João Batista (MA),São João Batista,73,Baixada Maranhense,Norte Maranhense,MA,São João BatistaBaixada MaranhenseNorte Maranhense
630,São João do Carú (MA),São João do Carú,69,Pindaré,Oeste Maranhense,MA,São João do CarúPindaréOeste Maranhense
631,São João do Paraíso (MA),São João do Paraíso,82,Porto Franco,Sul Maranhense,MA,São João do ParaísoPorto FrancoSul Maranhense
632,São João do Soter (MA),São João do Soter,81,Caxias,Leste Maranhense,MA,São João do SoterCaxiasLeste Maranhense
633,São João dos Patos (MA),São João dos Patos,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,São João dos PatosChapadas do Alto ItapecuruLeste Maranhense
634,São José de Ribamar (MA),São José de Ribamar,85,Aglomeração Urbana de São Luís,Norte Maranhense,MA,São José de RibamarAglomeração Urbana de São LuísNorte Maranhense
635,São José dos Basílios (MA),São José dos Basílios,84,Presidente Dutra,Centro Maranhense,MA,São José dos BasíliosPresidente DutraCentro Maranhense
636,São Luís (MA),São Luís,85,Aglomeração Urbana de São Luís,Norte Maranhense,MA,São LuísAglomeração Urbana de São LuísNorte Maranhense
637,São Luís Gonzaga do Maranhão (MA),São Luís Gonzaga do Maranhão,77,Médio Mearim,Centro Maranhense,MA,São Luís Gonzaga do MaranhãoMédio MearimCentro Maranhense
638,São Mateus do Maranhão (MA),São Mateus do Maranhão,77,Médio Mearim,Centro Maranhense,MA,São Mateus do MaranhãoMédio MearimCentro Maranhense
639,São Pedro da Água Branca (MA),São Pedro da Água Branca,65,Imperatriz,Oeste Maranhense,MA,São Pedro da Água BrancaImperatrizOeste Maranhense
640,São Pedro dos Crentes (MA),São Pedro dos Crentes,82,Porto Franco,Sul Maranhense,MA,São Pedro dos CrentesPorto FrancoSul Maranhense
641,São Raimundo das Mangabeiras (MA),São Raimundo das Mangabeiras,80,Chapadas das Mangabeiras,Sul Maranhense,MA,São Raimundo das MangabeirasChapadas das MangabeirasSul Maranhense
642,São Raimundo do Doca Bezerra (MA),São Raimundo do Doca Bezerra,77,Médio Mearim,Centro Maranhense,MA,São Raimundo do Doca BezerraMédio MearimCentro Maranhense
643,São Roberto (MA),São Roberto,77,Médio Mearim,Centro Maranhense,MA,São RobertoMédio MearimCentro Maranhense
644,São Vicente Ferrer (MA),São Vicente Ferrer,73,Baixada Maranhense,Norte Maranhense,MA,São Vicente FerrerBaixada MaranhenseNorte Maranhense
645,Satubinha (MA),Satubinha,77,Médio Mearim,Centro Maranhense,MA,SatubinhaMédio MearimCentro Maranhense
646,Senador Alexandre Costa (MA),Senador Alexandre Costa,84,Presidente Dutra,Centro Maranhense,MA,Senador Alexandre CostaPresidente DutraCentro Maranhense
647,Senador La Rocque (MA),Senador La Rocque,65,Imperatriz,Oeste Maranhense,MA,Senador La RocqueImperatrizOeste Maranhense
648,Serrano do Maranhão (MA),Serrano do Maranhão,68,Litoral Ocidental Maranhense,Norte Maranhense,MA,Serrano do MaranhãoLitoral Ocidental MaranhenseNorte Maranhense
649,Sítio Novo (MA),Sítio Novo,75,Alto Mearim e Grajaú,Centro Maranhense,MA,Sítio NovoAlto Mearim e GrajaúCentro Maranhense
650,Sucupira do Norte (MA),Sucupira do Norte,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Sucupira do NorteChapadas do Alto ItapecuruLeste Maranhense
651,Sucupira do Riachão (MA),Sucupira do Riachão,78,Chapadas do Alto Itapecuru,Leste Maranhense,MA,Sucupira do RiachãoChapadas do Alto ItapecuruLeste Maranhense
652,Tasso Fragoso (MA),Tasso Fragoso,71,Gerais de Balsas,Sul Maranhense,MA,Tasso FragosoGerais de BalsasSul Maranhense
653,Timbiras (MA),Timbiras,70,Codó,Leste Maranhense,MA,TimbirasCodóLeste Maranhense
654,Timon (MA),Timon,81,Caxias,Leste Maranhense,MA,TimonCaxiasLeste Maranhense
655,Trizidela do Vale (MA),Trizidela do Vale,77,Médio Mearim,Centro Maranhense,MA,Trizidela do ValeMédio MearimCentro Maranhense
656,Tufilândia (MA),Tufilândia,69,Pindaré,Oeste Maranhense,MA,TufilândiaPindaréOeste Maranhense
657,Tuntum (MA),Tuntum,75,Alto Mearim e Grajaú,Centro Maranhense,MA,TuntumAlto Mearim e GrajaúCentro Maranhense
658,Turiaçu (MA),Turiaçu,72,Gurupi,Oeste Maranhense,MA,TuriaçuGurupiOeste Maranhense
659,Turilândia (MA),Turilândia,72,Gurupi,Oeste Maranhense,MA,TurilândiaGurupiOeste Maranhense
660,Tutóia (MA),Tutóia,79,Lençóis Maranhenses,Norte Maranhense,MA,TutóiaLençóis MaranhensesNorte Maranhense
661,Urbano Santos (MA),Urbano Santos,74,Chapadinha,Leste Maranhense,MA,Urbano SantosChapadinhaLeste Maranhense
662,Vargem Grande (MA),Vargem Grande,83,Itapecuru Mirim,Norte Maranhense,MA,Vargem GrandeItapecuru MirimNorte Maranhense
663,Viana (MA),Viana,73,Baixada Maranhense,Norte Maranhense,MA,VianaBaixada MaranhenseNorte Maranhense
664,Vila Nova dos Martírios (MA),Vila Nova dos Martírios,65,Imperatriz,Oeste Maranhense,MA,Vila Nova dos MartíriosImperatrizOeste Maranhense
665,Vitória do Mearim (MA),Vitória do Mearim,73,Baixada Maranhense,Norte Maranhense,MA,Vitória do MearimBaixada MaranhenseNorte Maranhense
666,Vitorino Freire (MA),Vitorino Freire,69,Pindaré,Oeste Maranhense,MA,Vitorino FreirePindaréOeste Maranhense
667,Zé Doca (MA),Zé Doca,69,Pindaré,Oeste Maranhense,MA,Zé DocaPindaréOeste Maranhense
668,Acauã (PI),Acauã,86,Alto Médio Canindé,Sudeste Piauiense,PI,AcauãAlto Médio CanindéSudeste Piauiense
669,Agricolândia (PI),Agricolândia,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,AgricolândiaMédio Parnaíba PiauienseCentro-Norte Piauiense
670,Água Branca (PI),Água Branca,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,Água BrancaMédio Parnaíba PiauienseCentro-Norte Piauiense
671,Alagoinha do Piauí (PI),Alagoinha do Piauí,88,Pio IX,Sudeste Piauiense,PI,Alagoinha do PiauíPio IXSudeste Piauiense
672,Alegrete do Piauí (PI),Alegrete do Piauí,88,Pio IX,Sudeste Piauiense,PI,Alegrete do PiauíPio IXSudeste Piauiense
673,Alto Longá (PI),Alto Longá,89,Campo Maior,Centro-Norte Piauiense,PI,Alto LongáCampo MaiorCentro-Norte Piauiense
674,Altos (PI),Altos,90,Teresina,Centro-Norte Piauiense,PI,AltosTeresinaCentro-Norte Piauiense
675,Alvorada do Gurguéia (PI),Alvorada do Gurguéia,91,Alto Médio Gurguéia,Sudoeste Piauiense,PI,Alvorada do GurguéiaAlto Médio GurguéiaSudoeste Piauiense
676,Amarante (PI),Amarante,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,AmaranteMédio Parnaíba PiauienseCentro-Norte Piauiense
677,Angical do Piauí (PI),Angical do Piauí,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,Angical do PiauíMédio Parnaíba PiauienseCentro-Norte Piauiense
678,Anísio de Abreu (PI),Anísio de Abreu,92,São Raimundo Nonato,Sudoeste Piauiense,PI,Anísio de AbreuSão Raimundo NonatoSudoeste Piauiense
679,Antônio Almeida (PI),Antônio Almeida,93,Bertolínia,Sudoeste Piauiense,PI,Antônio AlmeidaBertolíniaSudoeste Piauiense
680,Aroazes (PI),Aroazes,94,Valença do Piauí,Centro-Norte Piauiense,PI,AroazesValença do PiauíCentro-Norte Piauiense
681,Aroeiras do Itaim (PI),Aroeiras do Itaim,95,Picos,Sudeste Piauiense,PI,Aroeiras do ItaimPicosSudeste Piauiense
682,Arraial (PI),Arraial,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,ArraialMédio Parnaíba PiauienseCentro-Norte Piauiense
683,Assunção do Piauí (PI),Assunção do Piauí,89,Campo Maior,Centro-Norte Piauiense,PI,Assunção do PiauíCampo MaiorCentro-Norte Piauiense
684,Avelino Lopes (PI),Avelino Lopes,96,Chapadas do Extremo Sul Piauiense,Sudoeste Piauiense,PI,Avelino LopesChapadas do Extremo Sul PiauienseSudoeste Piauiense
685,Baixa Grande do Ribeiro (PI),Baixa Grande do Ribeiro,97,Alto Parnaíba Piauiense,Sudoeste Piauiense,PI,Baixa Grande do RibeiroAlto Parnaíba PiauienseSudoeste Piauiense
686,Barra D'Alcântara (PI),Barra D'Alcântara,94,Valença do Piauí,Centro-Norte Piauiense,PI,Barra D'AlcântaraValença do PiauíCentro-Norte Piauiense
687,Barras (PI),Barras,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,BarrasBaixo Parnaíba PiauienseNorte Piauiense
688,Barreiras do Piauí (PI),Barreiras do Piauí,91,Alto Médio Gurguéia,Sudoeste Piauiense,PI,Barreiras do PiauíAlto Médio GurguéiaSudoeste Piauiense
689,Barro Duro (PI),Barro Duro,87,Médio Parnaíba Piauiense,Centro-Norte Piauiense,PI,Barro DuroMédio Parnaíba PiauienseCentro-Norte Piauiense
690,Batalha (PI),Batalha,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,BatalhaBaixo Parnaíba PiauienseNorte Piauiense
691,Bela Vista do Piauí (PI),Bela Vista do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Bela Vista do PiauíAlto Médio CanindéSudeste Piauiense
692,Belém do Piauí (PI),Belém do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Belém do PiauíAlto Médio CanindéSudeste Piauiense
693,Beneditinos (PI),Beneditinos,90,Teresina,Centro-Norte Piauiense,PI,BeneditinosTeresinaCentro-Norte Piauiense
694,Bertolínia (PI),Bertolínia,93,Bertolínia,Sudoeste Piauiense,PI,BertolíniaBertolíniaSudoeste Piauiense
695,Betânia do Piauí (PI),Betânia do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Betânia do PiauíAlto Médio CanindéSudeste Piauiense
696,Boa Hora (PI),Boa Hora,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,Boa HoraBaixo Parnaíba PiauienseNorte Piauiense
697,Bocaina (PI),Bocaina,95,Picos,Sudeste Piauiense,PI,BocainaPicosSudeste Piauiense
698,Bom Jesus (PI),Bom Jesus,91,Alto Médio Gurguéia,Sudoeste Piauiense,PI,Bom JesusAlto Médio GurguéiaSudoeste Piauiense
699,Bom Princípio do Piauí (PI),Bom Princípio do Piauí,99,Litoral Piauiense,Norte Piauiense,PI,Bom Princípio do PiauíLitoral PiauienseNorte Piauiense
700,Bonfim do Piauí (PI),Bonfim do Piauí,92,São Raimundo Nonato,Sudoeste Piauiense,PI,Bonfim do PiauíSão Raimundo NonatoSudoeste Piauiense
701,Boqueirão do Piauí (PI),Boqueirão do Piauí,89,Campo Maior,Centro-Norte Piauiense,PI,Boqueirão do PiauíCampo MaiorCentro-Norte Piauiense
702,Brasileira (PI),Brasileira,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,BrasileiraBaixo Parnaíba PiauienseNorte Piauiense
703,Brejo do Piauí (PI),Brejo do Piauí,92,São Raimundo Nonato,Sudoeste Piauiense,PI,Brejo do PiauíSão Raimundo NonatoSudoeste Piauiense
704,Buriti dos Lopes (PI),Buriti dos Lopes,99,Litoral Piauiense,Norte Piauiense,PI,Buriti dos LopesLitoral PiauienseNorte Piauiense
705,Buriti dos Montes (PI),Buriti dos Montes,89,Campo Maior,Centro-Norte Piauiense,PI,Buriti dos MontesCampo MaiorCentro-Norte Piauiense
706,Cabeceiras do Piauí (PI),Cabeceiras do Piauí,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,Cabeceiras do PiauíBaixo Parnaíba PiauienseNorte Piauiense
707,Cajazeiras do Piauí (PI),Cajazeiras do Piauí,95,Picos,Sudeste Piauiense,PI,Cajazeiras do PiauíPicosSudeste Piauiense
708,Cajueiro da Praia (PI),Cajueiro da Praia,99,Litoral Piauiense,Norte Piauiense,PI,Cajueiro da PraiaLitoral PiauienseNorte Piauiense
709,Caldeirão Grande do Piauí (PI),Caldeirão Grande do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Caldeirão Grande do PiauíAlto Médio CanindéSudeste Piauiense
710,Campinas do Piauí (PI),Campinas do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Campinas do PiauíAlto Médio CanindéSudeste Piauiense
711,Campo Alegre do Fidalgo (PI),Campo Alegre do Fidalgo,86,Alto Médio Canindé,Sudeste Piauiense,PI,Campo Alegre do FidalgoAlto Médio CanindéSudeste Piauiense
712,Campo Grande do Piauí (PI),Campo Grande do Piauí,86,Alto Médio Canindé,Sudeste Piauiense,PI,Campo Grande do PiauíAlto Médio CanindéSudeste Piauiense
713,Campo Largo do Piauí (PI),Campo Largo do Piauí,98,Baixo Parnaíba Piauiense,Norte Piauiense,PI,Campo Largo do PiauíBaixo Parnaíba PiauienseNorte Piauiense
714,Campo Maior (PI),Campo Maior,89,Campo Maior,Centro-Norte Piauiense,PI,Campo MaiorCampo MaiorCentro-Norte Piauiense
715,Canavieira (PI),Canavieira,100,Floriano,Sudoeste Piauiense,PI,CanavieiraFlorianoSudoeste Piauiense
716,Canto do Buriti (PI),Canto do Buriti,92,São Raimundo Nonato,Sudoeste Piauiense,PI,Canto do BuritiSão Raimundo NonatoSudoeste Piauiense
717,Capitão de Campos (PI),Capitão de Campos,89,Campo Maior,Centro-Norte Piauiense,PI,Capitão de CamposCampo MaiorCentro-Norte Piauiense
718,Capitão Gervásio Oliveira (PI),Capitão Gervásio Oliveira,86,Alto Médio Canindé,Sudeste Piauiense,PI,Capitão Gervásio OliveiraAlto Médio CanindéSudeste Piauiense
